RSPO,Numer telefonu,Adres email,Adres www
64260,0748313135,sp3.dzierzoniow@wp.pl,sp3dzierzoniow.superszkolna.pl
73075,0748313436,sekretariat@sp5.dzierzoniow.pl,www.sp5dzierzoniow.pl
478772,748367027,edukacjairodzina.dzierzoniow@gmail.com,
20482,746476867,sosw.dzierzoniow@interia.pl,sosw.pl
15262,748316423,zk.dzierzoniow@psoni.org.pl,www.orew.dzierzoniow.pl
18833,0748313749,sekretariat@zs1-radiobuda.pl,zs1-radiobuda.pl
19542,0748312618,sekretariat_zs3@wp.pl,www.zs3.info
23354,748371218,dyrekcja_przedszkolepg@interia.pl,http://teczowakraina.org.pl/
28886,0748371246,soswpilawa@interia.pl,www.soswpg.edu.pl
110989,748325058,pilawasekretariat@wp.pl,http://zsppilawadolna.szkolnastrona.pl/
72950,746351470,przedszkole@lagiewniki.pl,przedszkole.lagiewniki.pl
72950,746351470,przedszkole@lagiewniki.pl,przedszkole.lagiewniki.pl
111387,748376179,niemczazs@wp.pl,zsniemcza.pl
39082,0767272022,poczta@pp1.glogow.pl,www.pp1.glogow.pl
43705,767265614,pp6@www.glogow.pl,www.przedszkole6glogow.edupage.org
43830,0767265608,pp10@www.glogow.pl,www.pp10.glogow.pl
49131,884364344,pnkubuspuchatek.oddzial@interia.pl,
126355,692058467,przedszkole@przedszkolejarzebinki.pl,www.zieloneprzedszkola.eu
126355,692058467,przedszkole@przedszkolejarzebinki.pl,www.zieloneprzedszkola.eu
126355,692058467,przedszkole@przedszkolejarzebinki.pl,www.zieloneprzedszkola.eu
263930,570701706,wyspaskarbow@cisi.pl,www.wyspaskarbow.cisi.pl
267616,767451103,dyrektor@pp15.glogow.pl,www.pp15.glogow.pl
22350,768333037,sekretariat@sp6.glogow.pl,www.sp6.glogow.pl
22353,767265610,sp12@www.glogow.pl,www.sp12.master.pl
22354,768358235,sekretariat@sp13.glogow.pl,www.sp13.glogow.pl
196276,767265625,sekretariat@sp11.glogow.pl,sp11.glogow.pl
196278,768350454,sekretariat@sp9.glogow.pl,www.sp9.glogow.pl
272620,728806496,szkolaglogow@dalejrazem.pl,spdrglogow.pl
5536,767286530,2loglo@wp.pl,www.lo2.pl
5553,768339634,zszoi.glogow@wp.pl,www.zszoi.nazwa.pl
8565,768341853,szkola@zszglogow.pl,www.politechniczna.glogow.pl
10013,768331670,wilkowsp@wp.pl,www.wilkow.edu.pl
5525,724846572,dyrektor@przedszkolejerzmanowa.szkolnastrona.pl,www.przedszkolejerzmanowa.szkolnastrona.pl
274672,768312931,dyrektor@przedszkole.jaczow.pl,
5488,768312250,spjacz@wp.pl,www.spjaczow.pl
13777,768314210,spnielubia@gazeta.pl,spnielubia.szkolnastrona.pl
55941,655432334,sek.p1@gora.com.pl,przedszkole1.pcdn.edu.pl
34641,655432341,magdalena.mielczarek@logora.edu.pl,www.logora.pl
82483,0655436877,zspipslubow@wp.pl,www.zspipslubow.edupage.org
60209,655437925,soswwasosz@op.pl,http://soswwasosz.pcdn.edu.pl
60209,655437925,soswwasosz@op.pl,http://soswwasosz.pcdn.edu.pl
85586,768702331,prymusek.jawor@gmail.com,
85586,768702331,prymusek.jawor@gmail.com,
62448,767291904,sp4.jawor@wp.pl,www.sp4jawor.pl
62450,768702655,sp5-jawor@wp.pl,www.sp5jawor.net
13204,768702472,soswjawor@soswjawor.pl,www.soswjawor.pl
20475,757413334,przedszkole@bolkow.pl,www.psbolkow.szkolnastrona.pl
20470,757413211,sp@bolkow.pl,www.spbolkow.edu.pl
20470,757413211,sp@bolkow.pl,www.spbolkow.edu.pl
20471,757412115,sekretariat@spkaczorow.edu.pl,www.spkaczorow.edu.pl
20471,757412115,sekretariat@spkaczorow.edu.pl,www.spkaczorow.edu.pl
127556,+48602497946,dwarchitekton@interia.pl,www.architektonkarpacz.pl
84374,757182534,sekretariat@przedszkole1-kowary.pl,www.przedszkole1kowary.szkolnastrona.pl
47733,757612271,ps2.piechowice@wp.pl,www.ps2piechowice.szkolnastrona.pl
47733,757612271,ps2.piechowice@wp.pl,www.ps2piechowice.szkolnastrona.pl
31788,757553060,sekretariat@zstil.pl,zstil.pl
82340,757172388,kontakt@sp1szklarskaporeba.pl,www.sp1szklarska.superszkolna.pl
80861,757172769,sekretariat@mowszklarska.pl,mowszklarska.pl
31789,0757172206,lo_szklarska@wp.pl,zso-szklarska.com
121872,757137322,sp-siedlecin@o2.pl,
88999,757131301,dyrektor@przedszkole-lomnica.com.pl,przedszkole-lomnica.pl
106095,757131038,przedszkole@myslakowice.pl,www.przedszkolemyslakowice.pl
110381,757131303,zsspig@poczta.onet.pl,www.szkolamyslakowice.pl
110382,757130256,spzoi@sp-lomnica.pl,www.szkola-lomnica.pl
110382,757130256,spzoi@sp-lomnica.pl,www.szkola-lomnica.pl
84544,757610255,spmilkow@op.pl,
86647,757551638,spwojcieszyce@wp.pl,www.spwojcieszyce.pl
23515,756450182,zso@kamienna-gora.pl,www.zso.kamienna-gora.pl
15152,756450200,zszio@kamienna-gora.pl,zszio.edupage.org
15228,756450244,pcekamgora@o2.pl,www.pce.kamienna-gora.pl
72429,756106247,przedszkole@przed-krze.pl,przed-krze.pl
60744,756106446,spptaszkow@o2.pl,spptaszkow.szkolnastrona.pl
64750,757424479,spszarocin4@wp.pl,pspszarocin.edupage.org
480786,693322085,fortis.mocni@gmail.com,
75170,757411762,zsp.lubawka@lubawka.eu,sp.lubawka.eu
10560,748669368,sekretariat@mzs.duszniki.pl,www.mzs.duszniki.pl
22593,502087922,termit26@poczta.fm,
26087,748673174,szkola7kosciuszko@o2.pl,www.sp7klodzko.edupade.org
262674,748673006,sekretariat@spreymonta.pl,spreymontaklodzko.szkolnastrona.pl
91250,0748672600,lo_chrobry@powiat.klodzko.pl,www.chrobry.org
86777,0748672413,zsp1@ng.pl,zst.klodzko.pl
131292,748661447,przedszkole@puchatek-kudowa.pl,puchatek-kudowa.pl
48001,748661440,sekretariat@czermna.iq.pl,www.czermna.iq.pl
132976,748680242,zarzad@uzdrowiska-klodzkie.pl,dwd-jagusia.pl
48002,748661700,sekretariat@zsp-kudowa.pl,
79958,748722316,nowarudap@cmw.osw.pl,www.przedszkolesalezjanskie.nowaruda.pl
91282,0748722577,lo.nowaruda@wp.pl,www.liceum.nowaruda.pl
133401,533676319,skrzypek.hejszowina@gmail.com,www.skrzypeknadachu.pl
86812,0748722242,szkola@zsp.nowaruda.pl,www.zsp.nowaruda.pl
91139,603031476,annagladysz@wp.pl,
91139,603031476,annagladysz@wp.pl,
61352,748121006,spgorzanow@o2.pl,www.tmggorzanow.pl
105869,0748139169,soszwdlugopole@o2.pl,www.oszwdlugopole.pl
46537,748685313,przedszkole@pgkrosnowice.pl,www.przedszkole.krosnowicen.blizej.info
50241,748689311,sp.zelazno@interia.pl,
52438,748689330,szkola@spoldrzychowice.pl,spoldrzychowice.pl
52495,748685773,sekretariat@spkrosnowice.pl,www.spkrosnowice.szkolnastrona.pl
58624,748713189,sp.wojborz@gmail.com,spwojborz.szkolnastrona.pl
40082,746396099,gppladek@op.pl,
105151,748132047,zsp_domaszkow@wp.eu,zspdomaszkow.szkolnastrona.pl
87142,748716715,nsps@poczta.onet.pl,www.naszeszkoly.ng.pl
87142,748716715,nsps@poczta.onet.pl,www.naszeszkoly.ng.pl
17414,748715347,sekretariat@zspscinawkadolna.pl,www.zspscinawkadolna.szkolnastrona.pl
17415,748719213,wambierzycezsp@gmail.com,zspwambierzyce.szkolnastrona.pl
66124,516183471,zetspec@gmail.com,www.e-bip.org.pl/zetspec21b/
66124,516183471,zetspec@gmail.com,www.e-bip.org.pl/zetspec21b/
268596,748680030,sekretariat@zspscinawkasrednia.pl,www.zsradkowklodzki.pl
89581,748683364,sp-szczytna@o2.pl,https://spszczytna.edupage.org/
89581,748683364,sp-szczytna@o2.pl,https://spszczytna.edupage.org/
89581,748683364,sp-szczytna@o2.pl,https://spszczytna.edupage.org/
264732,600020168,przedszkole.terapeutyczne@op.pl,
63490,768188350,szkola@sp4chojnow.pl,www.sp4.chojnow.eu
13324,768196510,makowalczyk@pzs-chojnow.pl,www.pzs-chojnow.pl
80850,768178824,zsprokitki@gmina-chojnow.pl,www.rokitki.net
130607,768575706,przedszkolekunice@interia.pl,www.przedszkolekunice.szkolnastrona.pl
126577,,przedszkole.milkowice@gmail.com,
262451,768584644,sp2prochowice@gmail.com,
84453,757222783,przedszkoleluban@wp.pl,www.sloneczne.org
84454,509516468,renata.trendewicz@o2.pl,www.przedszkoleluban.pl
84454,509516468,renata.trendewicz@o2.pl,www.przedszkoleluban.pl
274026,604889559,bialymis@vip.onet.pl,http://bialy-mis-luban.pl/
63987,756464459,sekretariat@sp2luban.pl,
84444,757222957,lubansp1@wp.pl,www.sp1luban.pl
270128,515362552,edumedica1@o2.pl,
270128,515362552,edumedica1@o2.pl,
11439,757222277,zszioluban@wp.pl,http://www.zszioluban.pl
11445,757816223,dwd@wp.pl,http://domwczasowdzieciecych.pl/
14197,,lesneelfiki@interia.pl,lesne-elfiki.pl
34563,757221867,przedszkole.zareba@siekierczyn.pl,www.przedszkole.zareba.siekierczyn.pl
13945,768479693,pm1@ok.um.lubin.pl,http://www.pm1lubin.szkolnastrona.pl
13949,767497030,pm6@ok.um.lubin.pl,
13950,767468380,pm7@ok.um.lubin.pl,
13950,767468380,pm7@ok.um.lubin.pl,
13951,768444712,pm10@ok.um.lubin.pl,
13955,767468370,pm2@ok.um.lubin.pl,https://pm2lubin.szkolnastrona.pl
13955,767468370,pm2@ok.um.lubin.pl,https://pm2lubin.szkolnastrona.pl
14397,767468366,pm14@ok.um.lubin.pl,pm14lubin.szkolnastrona.pl
274174,768456594,biuro@zielonaedukacja.com,www.zielonaedukacja.com
10075,767462241,sp5@ok.um.lubin.pl,
10080,767468330,sp14@ok.um.lubin.pl,
11714,768497265,2.liceum.lubin@wp.pl,www.2liceum.eu
89642,768448192,p.raszowka@ug.lubin.pl,przedszkoleraszowka.pl
89639,768408704,sekretariat@spkrzeczyn.pl,www.spkrzeczynwielki.pl
131093,604599135,jszulc@poczta.onet.pl,https://zspscinawa.szkolna.net/
268168,757813269,sp2gryfow@gmail.com,
52673,757813459,zsoiz.jp2@wp.pl,www.zsoiz.gryfow.pl
131437,502692132,prywatne.gimnazjum@wp.pl,
52671,757824525,sekretariat@zpew.powiatlwowecki.pl,www.zpew.edupage.org
52672,757824363,sekretariat@zsetrakowice.pl,zsetrakowice.pl
49721,757834692,szk.gieb@poczta.onet.pl,
4001,757136369,sekretariat@szkolawlen.pl,zs.wlen.pl
14442,713845693,szkola@zszkuznica.pl,www.zszkuznica.szkolnastrona.pl
6297,713840382,przedszkolemilicz1@gmail.com,www.przedszkolesamorzadowewmiliczu.przedszkolowo.pl
10267,713841110,dorw@mspdion.org.pl,www.mspdion.org.pl
12403,503691875,m.platek.maliodkrywcy@gmail.com,
6295,713849216,spwziachowo@op.pl,www.spwziachowo.pl
262788,713840015,gimmil@poczta.onet.pl,sp1milicz.pl
22057,713841110,dorw@mspdion.org.pl,http://www.mspdion.org.pl/
31715,713142664,s.boinska@p1.zosolesnica.pl,www.p1.zosolesnica.pl
85591,535522945,beatawysocka12@wp.pl,www.naptasiej.pl
85592,530121250,bajkowyklubmalucha@wp.pl,
18765,713140236,spolesnica@olesnica.wroc.pl,www.spgminyolesnica.pl
85570,713144807,sekretariat@sp7.zosolesnica.pl,
19428,713146225,spbierutow@bierutow.pl,www.spbierutow.szkolnastrona.pl
61457,717570820,dyrektor@przedszkoledobroszyce.pl,www.przedszkoledobroszyce.pl
61454,713141125,spdobroszyce@interia.pl,www.spdobroszyce.edupage.org
61455,713155368,sekretariat@spdobrzen.pl,www.spdobrzen.pl
8183,0713140233,spssekretariat@wp.pl,www.spsmolna.wroclaw.pl
8183,0713140233,spssekretariat@wp.pl,www.spsmolna.wroclaw.pl
61342,627855159,przedszkolekoszalek@onet.eu,www.pp1sycow.szkolnastrona.pl
61342,627855159,przedszkolekoszalek@onet.eu,www.pp1sycow.szkolnastrona.pl
91737,627852458,przedszkolesycow@o2.pl,
61334,627851624,spdzial@wp.pl,www.spdzial.szkolnastrona.pl
61338,627855157,sekretariat@sp2sycow.com.pl,www.sp2sycow.szkolnastrona.pl/
7545,627869340,sekretariat@zsp-sycow.pl,www.zsp-sycow.pl
40622,713158067,przedsztward@pro.onet.pl,www.przedszkole.twardogora.pl
8944,713132542,mp.2@op.pl,www.mp-2olawa.szkolnastrona.pl
8960,713132379,mp4-olawa@idsl.pl,www.mp4olawa.szkolnastrona.pl
8960,713132379,mp4-olawa@idsl.pl,www.mp4olawa.szkolnastrona.pl
8938,713132817,sp1olawa@gmail.com,sp1olawa.szkolnastrona.pl
263028,713133629,sekretariat@gspolawa.pl,WWW.GSPOLAWA.EDUPAGE.ORG
12729,717345910,sekretariat@zssolawa.szkolnastrona.pl,www.zssolawa.szkolnastrona.pl
23150,713019217,dyrektor@przedszkolepolwica.pl,przedszkolepolwica.szkolnastrona.pl
53310,453671506,domaniowzs@o2.pl,www.zsdomaniow.szkolnastrona.pl
277813,728381998,szkola@altra.edu.pl,altra.edu.pl
277813,728381998,szkola@altra.edu.pl,altra.edu.pl
12693,,zspjelcz@poczta.onet.pl,www.zspjelcz.pl
105022,713018413,ppbystrzyca@interia.pl,
479888,,kontakt@basniowakraina.edu.pl,
105026,713133190,sp_scinawa_polska@poczta.onet.pl,www.spscinawapol.szkolnastrona.pl
105034,713130217,sp_bystrzyca@wp.pl,
105030,713014687,monigal@interia.pl,
478384,713131527,sp_gac1@wp.pl,
85787,768316206,a.cieslak@przedszkolegaworzyce.pl,http://www.przedszkolegaworzyce.szkolnastrona.pl/
85787,768316206,a.cieslak@przedszkolegaworzyce.pl,http://www.przedszkolegaworzyce.szkolnastrona.pl/
84899,768315046,sekretariat@spgrebocice.pl,spgrebocice.pl
84899,768315046,sekretariat@spgrebocice.pl,spgrebocice.pl
52314,763070700,sekretariat@pm4.polkowice.pl,www.pm4.polkowice.pl
52324,768451255,sekretariat@pm5.polkowice.pl,www.pm5.polkowice.pl
52345,693333133,magicschool@op.pl,www.magicschool.pl
52345,693333133,magicschool@op.pl,www.magicschool.pl
53210,767463500,sekretariatsp1@sp1.polkowice.pl,www.sp1.polkowice.pl
86206,768451642,sp3@sp3.polkowice.pl,www.sp3.polkowice.pl
91072,768320504,psp.wysoka@wysokapspszkola.onmicrosoft.com,http://pspwysoka.szkolnastrona.pl/
71953,0768311312,sekretariat@spb.radwanice.pl,www.spbuczyna.edupage.org
6247,713930379,szkolazelowice@poczta.onet.pl,
121489,725474232,goluzd.elwira1993@gmail.com,
88488,713921692,sekretariat@psp5strzelin.pl,https://sp5strzelin.edupage.org/
88488,713921692,sekretariat@psp5strzelin.pl,https://sp5strzelin.edupage.org/
88488,713921692,sekretariat@psp5strzelin.pl,https://sp5strzelin.edupage.org/
121208,7139958101,sekretariat@celestyn.pl,www.celestyn.pl
86333,,stokrotkabialykosciol@gmail.com,
6122,713921364,sekretariat@lostrzelin.pl,www.lostrzelin.pl
47127,713927830,osrodekszkolny@wp.pl,
107582,,sppiotrowice@interia.pl,
7008,713179174,sp.malczyce@wp.pl,https://szkola-malczyce.edupage.org/
275257,536006443,zakatek.malucha.lutynia@gmail.com,zakatekmalucha.pl
81117,713173362,przedszkole.ciechow@srodaslaska.pl,
81117,713173362,przedszkole.ciechow@srodaslaska.pl,
81117,713173362,przedszkole.ciechow@srodaslaska.pl,
19835,713172181,soszw@powiat-sredzki.pl,soszw.powiat-sredzki.pl
83786,748520239,wesolapiateczka@vp.pl,www.wesolapiatka.pl
83906,748533327,fundacja.utunumsint@gmail.com,www.utunumsint.pl
88026,748522121,promyk.przedszkole@op.pl,https://promyk.swidnica.pl
90383,748520397,przedszkole@pm4.swidnica.pl,www.przedszkole4.swidnica.pl
90486,0748524353,przedszkole@pm15.swidnica.pl,www.przedszkole15.swidnica.pl
91291,746683113,swidnica.przedszkole@gmail.com,www.przedszkole-swidnica.pl
103981,667996464,przedszkole.radosnydelfinek@gmail.com,www.radosnydelfinek.pl
104042,748524375,dyrektor.przedszkole@szkolaspoleczna.pl,www.przedszkole.szkolaspoleczna.pl
104850,532998505,agugu@dlaprzedszkoli.eu,www.dlaprzedszkoli.eu
104850,532998505,agugu@dlaprzedszkoli.eu,www.dlaprzedszkoli.eu
264532,748521039,swidnica.orew@gmail.com,www.psouu.swidnica.pl
83568,748522979,sekretariat@niepubliczna12.swidnica.pl,www.niepubliczna12.swidnica.pl
86800,748520585,sekretariat-wodna@sp6.swidnica.pl,sp6swidnica.edupage.org
87833,748529818,sekretariat@sp1swidnica.pl,https://sp1swidnica.pl
88254,748522924,sekretariat.sp8@gmail.com,www.nw.sp8.net.pl
262539,748530312,szkola.kulon@wp.pl,www.rzemieslnik.szkolnastrona.pl
263632,502291618,dkolodziejczyk111@interia.pl,
263632,502291618,dkolodziejczyk111@interia.pl,
263632,502291618,dkolodziejczyk111@interia.pl,
105079,748522816,sekretariat@swidnica.zpisdn.gov.pl,swidnica.zpisdn.gov.pl
21715,748530312,szkola.kulon@wp.pl,www.rzemieslnik.szkolnastrona.pl
6021,748520700,sekretariat@zs1.pl,www.zs1.pl
6024,748533033,info@zsht.swidnica.pl,www.zsht.swidnica.pl
9329,748524094,zsm@zsm.swidnica.pl,www.zsm.swidnica.pl
25590,,dkoldon@wp.pl,
267976,746669617,psp1swiebodzice@wp.pl,https://naszajedynka.pl
17630,748588177,sp@szkola.jaworzyna.net,www.szkolajaworzyna.szkolnastrona.pl
64688,748504420,sekretariat@spstrzelce.szkolnastrona.pl,
27115,748551004,pp3@strzegom.pl,www.pp3.strzegom.pl
29973,748558205,zspjaroszow@strzegom.pl,www.zspjaroszow.strzegom.pl
71895,7485800300,juxma@wp.pl,www.krzyzowa.org.pl
6019,724383193,sekretariat@zpbystrzycag.edu.pl,zpbystrzycag.edu.pl
9738,748580808,zastruze@o2.pl,http://www.spzastruze.pl
7985,748580316,sekretariat@mowmrowiny.pl,www.mowmrowiny.pl
107444,713107419,szkolapegow@gmail.com,szkolapegow.pl
107471,713102156,sp2oborniki@o2.pl,https://sp2obornikisl.edupage.org
107477,713101481,sp3obornikisl@wp.pl,www.sp3obornikisl.edupage.org
21788,713102571,dworek@kuraszkow.pl,www.kuraszkow.pl
54102,713126513,skokowasp@gmail.com,www.spskokowa.szkolnastrona.pl
68055,713870651,sekretariat@man.edu.pl,przedszkole-integracyjne.edu.pl
68055,713870651,sekretariat@man.edu.pl,przedszkole-integracyjne.edu.pl
124287,503912694,info@sloneczkotrzebnica.pl,
124296,605138519,koniczynka-trzebnica@op.pl,
66692,713870651,sekretariat@man.edu.pl,szkola-integracyjna.edu.pl
262534,713120884,sekretariat@sp1.trzebnica.net,
56398,713107129,zsp.szewce@wiszniamala.pl,
266326,713127079,sp.wisznia@wiszniamala.pl,www.zspwiszniamala.pl
111195,713127193,sekretariat@zsczeszow.pl,www.zsczeszow.pl
70722,713853159,sekretariat@zdolina.pl,www.zielonadolinazmigrod.przedszkolna.net
70717,713856424,spbarkowo75@superszkolna.pl,spbarkowo.superszkolna.pl
70719,713856693,sekretariat@sppowidzko.pl,www.sppowidzko49.edupage.org
16470,713853666,sekretariat@pzszmigrod.pl,
17031,713853331,sekretariat@zsszmigrod.dlaedu.pl,zsszmigrod.edupage.org
263704,668127547,przedszkolefantazja.boguszow@onet.pl,www.przedszkolefantazja.com.pl
7161,748458223,sekretariat@soszwns.edu.pl,www.soszwns.edu.pl
132432,748548240,sekretariat@sanatoria-dolnoslaskie.pl,odrodzenie.info.pl
73121,748457513,osw.walim@wp.pl,
17769,713195660,przedszkole1@brzegdolny.pl,www.ps1brzegdolny.szkolnastrona.pl
17771,713195695,przedszkole3bd@poczta.onet.pl,http://przedszkole3bd.szkolnastrona.pl/
265893,713196395,maluszek_godziecin@wp.pl,
271961,713195106,sp1@brzegdolny.pl,www.sp1brzegdolny.szkolnastrona.pl
87448,0713809056,sekretariat@pswinsko.pl,pswinsko.pl
87427,0713898029,szkola@spwinsko.pl,www.spwinsko.pl
73840,713899763,sp.warzegowo@wolow.pl,www.spwarzegowo.szkolnastrona.pl
13461,713195609,stow_wolow@wp.pl,son-wolow.pl
73842,662014428,punkt.przedszkolny.kubusia@gmail.com,
264370,713195609,stow_wolow@wp.pl,www.son-wolow.pl
8512,713892824,sekretariat@zszwolow.pl,zszwolow.edupage.org
123833,713892669,ckziu@ckziu-wolow.pl,zswolow.pl
19116,694112158,happykids@happykids.edu.pl,www.happykids.edu.pl
124634,660427666,biuro@miniworld.com.pl,miniworld.com.pl
196444,660427666,biuro@miniworld.com.pl,www.miniworld.com.pl
27327,713189168,sekretariat@spratowice.edu.pl,www.spratowice.edu.pl
5144,717159520,kontakt@szkolakielczow.pl,www.szkolakielczow.edupage.org
10226,713154870,zslozina@poczta.onet.pl,www.zslozina.edupage.org
4427,173151030,szkola@mirkow.pl,https://zspmirkow.edupage.org
84009,713161615,dyrektor.spjordanow@onet.pl,pspjordanowslaski.szkolnastrona.pl
125211,713363311,przedszkole.smolec84@gmail.com,
269185,,przedszkoleimago@gmail.com,www.przedszkoleimago.pl
269185,,przedszkoleimago@gmail.com,www.przedszkoleimago.pl
277680,713084660,sekretariat@przedszkole2katywroc.szkolnastrona.pl,przedszkole2katywroc.szkolnastrona.pl
277680,713084660,sekretariat@przedszkole2katywroc.szkolnastrona.pl,przedszkole2katywroc.szkolnastrona.pl
30445,713166518,spkwroc@poczta.onet.pl,http://sp1katy.pl/
272120,713166153,sekretariat@zspsadkow.pl,www.szkolasadkow.pl
51293,713118391,szkolapustkowwilcz@gmail.com,www.sppustkowwilcz.szkolnastrona.pl
478768,724969638,kontakt@planetatworczosci.org,www.planetatworczosci.org
478768,724969638,kontakt@planetatworczosci.org,www.planetatworczosci.org
21741,713908778,gimnazjumwierzbice@wp.pl,http://zsswierzbice.szkolnastrona.pl
118546,713908580,sppz@zsppustkow.pl,zsp.pustkow.szkolnastrona.pl
123364,717151800,sekretariat.szkola@szkolatyniecmaly.pl,szkolatyniecmaly.pl
130809,717151599,sekretariat-szkola@zspwysoka.pl,www.zspwysoka.pl
130809,717151599,sekretariat-szkola@zspwysoka.pl,www.zspwysoka.pl
84700,713168272,przedszkole.mietkow@wp.pl,www.pmietkow.edupage.org
69346,607248858,biuro@stowarzyszenie-aktywni.pl,http://stowarzyszenie-aktywni.pl/
31660,717334541,sekretariat@mow.sobotka.pl,mow.sobotka.pl
29127,0713162300,licsob@wp.pl,www.pzs3.cba.pl
272348,713162565,info@sp1sobotka.pl,
85174,713116246,przedszkole.katarzyna@gmail.com,http://przedszkole-katarzyna.pl/
85217,713113225,dyrektor@przedszkole-zerniki.pl,http://przedszkole-zerniki.edupage.org
84978,713113399,sp.zerniki.wr@interia.pl,http://sp-zerniki-wr.pl/
85053,713029478,kotowice@wroclaw.caritas.pl,https://www.kspkotowicecaritas.pl
92857,713165092,przedszkolezorawina18@gmail.com,
92840,713165038,zspnr1@poczta.onet.pl,www.sp-zorawina.pl
92933,713114825,zsp5wegry2@wp.pl,https://spwegry.pl/
104020,748171365,dwd@dwdbardo.pl,dwdbardo.pl
66519,748151225,krasnal8@o2.pl,www.jedyneczkazabkowice.szkolnastrona.pl
130144,606131786,zipdomino@gmail.com,www.zipdomino.pl
69991,748157209,sp2zab@poczta.onet.pl,www.sp2-zabkowice.pl
70069,748151902,spnr3_zabkowice@op.pl,www.sp3zabkowice.pl
70273,748157625,spzwrocona@op.pl,zwrocona.pl
24697,748100862,cechzabkowice@gmail.com,
14361,748152329,sekretariat@zszzabkowice.pl,www.zszzabkowice.pl
83265,748151771,zpsstolec@op.pl,
73742,748191365,pnop@oswiata-ziebice.pl,http://www.orlapolana.szkolnastrona.pl/
68472,748199025,nsp.lubnow@interia.pl,http://www.nsplubnow.szkolnastrona.pl
68472,748199025,nsp.lubnow@interia.pl,http://www.nsplubnow.szkolnastrona.pl
68472,748199025,nsp.lubnow@interia.pl,http://www.nsplubnow.szkolnastrona.pl
16863,748105050,henrykow@archidiecezja.wroc.pl,henrykow.archidiecezja.wroc.pl
16863,748105050,henrykow@archidiecezja.wroc.pl,henrykow.archidiecezja.wroc.pl
16863,748105050,henrykow@archidiecezja.wroc.pl,henrykow.archidiecezja.wroc.pl
64403,748194084,zsip@oswiata-ziebice.pl,www.zsipniedzwiedz.szkolnastrona.pl
49123,757788219,biuro@przedszkole.zawidow.eu,www.ppzawidow.szkolnastrona.pl
64056,757754115,pp12@zgorzelec.eu,
69545,757756861,pnn3pajacyk@wp.pl,www.przedszkole-pajacyk.pl
69545,757756861,pnn3pajacyk@wp.pl,www.przedszkole-pajacyk.pl
69546,757752688,pn1zaczarowanydomek@wp.pl,www.zaczarowanydomek.blogspot.com
69546,757752688,pn1zaczarowanydomek@wp.pl,www.zaczarowanydomek.blogspot.com
69953,757752360,kasztankoweprzedszkole@o2.pl,www.kasztankoweprzedszkole.szkolnastrona.plpl
72299,757758425,pp9@zgorzelec.eu,pp9zgorzelec.edupage.org
